id,label
国家,国家
卫生,卫生
健康,健康
中国,中国
支援,支援
新冠,新冠
肺炎,肺炎
疫情,疫情
防控,防控
工作,工作
专家,专家
人民网,人民网
北京,北京
日电,日电
记者,记者
医疗,医疗
救治,救治
物资,物资
团队,团队
湖北,湖北
捐赠,捐赠
驰援,驰援
医疗队,医疗队
医院,医院
以来,以来
完成,完成
医务人员,医务人员
我们,我们
武汉,武汉
襄阳,襄阳
保障,保障
万元,万元
累计,累计
队员,队员
小时,小时
提供,提供
生产,生产
一线,一线
湖北省,湖北省
企业,企业
安全,安全
介绍,介绍
参与,参与
员工,员工
问题,问题
复工,复工
相关,相关
防护服,防护服
患者,患者
重症,重症
就是,就是
开展,开展
抗疫,抗疫
医护人员,医护人员
收治,收治
治疗,治疗
目前,目前
其中,其中
治愈,治愈
进行,进行
方舱,方舱
出院,出院
方式,方式
病例,病例
确诊,确诊
新增,新增
现有,现有
人员,人员
措施,措施
全国,全国
截至,截至
新疆生产建设兵团,新疆生产建设兵团
死亡,死亡
报告,报告
疑似病例,疑似病例
防疫,防疫
党员,党员
需要,需要
武汉市,武汉市
人民,人民
各级,各级
组织,组织
复产,复产
发挥,发挥
战疫,战疫
时间,时间
一个,一个
隔离,隔离
他们,他们
孝感市,孝感市
新型,新型
冠状病毒,冠状病毒
检测,检测
标题,标题
医生,医生
鄂州市,鄂州市
表示,表示
病人,病人
护士,护士
自己,自己
情况,情况
管理,管理
主任,主任
随州市,随州市
战斗,战斗
感染,感染
接受,接受
通过,通过
加强,加强
全省,全省
年月日时,年月日时
日时,日时
黄石市,黄石市
服务,服务
国务院,国务院
联防,联防
联控,联控
卫健委,卫健委
活动,活动
信息,信息
党支部,党支部
广大党员,广大党员
十堰市,十堰市
做好,做好
干部,干部
机制,机制
新闻,新闻
发布会,发布会
要求,要求
重点,重点
消息,消息
荆门市,荆门市
同时,同时
医学观察,医学观察
黄冈市,黄冈市
追踪,追踪
社区,社区
宜昌市,宜昌市
荆州市,荆州市
咸宁市,咸宁市
恩施州,恩施州
仙桃市,仙桃市
天门市,天门市
群众,群众
中国共产党,中国共产党
成立,成立
一些,一些
习近平,习近平
领导,领导
举行,举行
今日,今日
微信,微信
密切接触,密切接触
发展,发展
公众,公众
全区,全区
基层,基层
宣传,宣传
举措,举措
党组织,党组织
党员干部,党员干部
党建,党建
先锋,先锋
新闻网,新闻网
上午,上午
委员会,委员会
对口,对口
危重症,危重症
临床,临床
单位,单位
市例,市例
没有,没有
病房,病房
指挥部,指挥部
发生,发生
附属,附属
病区,病区
危重,危重
第一,第一
这个,这个
大家,大家
部门,部门
新华社,新华社
正在,正在
责编,责编
期间,期间
年月日,年月日
根据,根据
病毒,病毒
出现,出现
发布,发布
网站,网站
有关,有关
可能,可能
来自,来自
运送,运送
爱心,爱心
有限公司,有限公司
生活,生活
亿元,亿元
平台,平台
社会,社会
应急,应急
系统,系统
对于,对于
影响,影响
医用,医用
口罩,口罩
政府,政府
防护,防护
地区,地区
每天,每天
必须,必须
春节,春节
作为,作为
现在,现在
一名,一名
可以,可以
任务,任务
了解,了解
近日,近日
全部,全部
行动,行动
部署,部署
责任,责任
抗击,抗击
对接,对接
需求,需求
阻击战,阻击战
特别,特别
紧急,紧急
为了,为了
其他,其他
确保,确保
这场,这场
全市,全市
针对,针对
力量,力量
市场,市场
按照,按照
支持,支持
安排,安排
下午,下午
指导,指导
志愿者,志愿者
项目,项目
监测,监测
工作人员,工作人员
协调,协调
中央,中央
打赢,打赢
机构,机构
志愿,志愿
看到,看到
通知,通知
积极,积极
及时,及时
所有,所有
居民,居民
已经,已经
主动,主动
各地,各地
政策,政策
落实,落实
岗位,岗位
召开,召开
规定,规定
发现,发现
当前,当前
街道,街道
非常,非常
学生,学生
学习,学习
严格,严格
全面,全面
集中,集中
网上,网上
这些,这些
引导,引导
应对,应对
消毒,消毒
视频,视频
总书记,总书记
重要,重要
会议,会议
解决,解决
小区,小区
传播,传播
不同,不同
不是,不是
应该,应该
排查,排查
作用,作用
面前,面前
教育,教育
不能,不能
一场,一场
科学,科学
担当,担当
就业,就业
坚持,坚持
推动,推动
地方,地方
建立,建立
能力,能力
精准,精准
有序,有序
治理,治理
众志成城,众志成城
堡垒作用,堡垒作用
模范作用,模范作用
同事,同事
进入,进入
今天,今天
当日,当日
解除,解除
火神,火神
生命,生命
开始,开始
你们,你们
奔赴,奔赴
病情,病情
核酸,核酸
通报,通报
